=== Statistiques empiriques — Dataset UCI ===

Conso moyenne globale  : 1091 W  (26.2 kWh/j)
Pic moyen (heure)      : 2002 W  à 20.8h
Creux moyen (nuit)     : 434 W  à 3.9h

=== Profil μ(t) — minute par minute ===
minute;heure;puissance_W
1173;19.5500;1790.52
1174;19.5667;1776.07
1175;19.5833;1784.79
1176;19.6000;1792.72
1177;19.6167;1810.07
1178;19.6333;1813.96
1179;19.6500;1811.83
1180;19.6667;1782.61
1181;19.6833;1763.27
1182;19.7000;1761.41
1183;19.7167;1777.82
1184;19.7333;1769.19
1185;19.7500;1762.41
1186;19.7667;1724.48
1187;19.7833;1711.84
1188;19.8000;1713.35
1189;19.8167;1708.90
1190;19.8333;1714.71
1191;19.8500;1722.90
1192;19.8667;1723.60
1193;19.8833;1731.82
1194;19.9000;1738.94
1195;19.9167;1761.89
1196;19.9333;1770.07
1197;19.9500;1772.61
1198;19.9667;1786.67
1199;19.9833;1777.26
1200;20.0000;1780.55
1201;20.0167;1792.48
1202;20.0333;1825.51
1203;20.0500;1829.86
1204;20.0667;1826.00
1205;20.0833;1810.21
1206;20.1000;1811.35
1207;20.1167;1812.66
1208;20.1333;1825.48
1209;20.1500;1810.82
1210;20.1667;1809.12
1211;20.1833;1802.99
1212;20.2000;1815.26
1213;20.2167;1837.92
1214;20.2333;1848.32
1215;20.2500;1845.19
1216;20.2667;1841.77
1217;20.2833;1849.92
1218;20.3000;1860.73
1219;20.3167;1850.31
1220;20.3333;1853.00
1221;20.3500;1858.83
1222;20.3667;1865.98
1223;20.3833;1878.19
1224;20.4000;1890.78
1225;20.4167;1884.93
1226;20.4333;1885.01
1227;20.4500;1884.22
1228;20.4667;1895.64
1229;20.4833;1897.59
1230;20.5000;1915.94
1231;20.5167;1913.95
1232;20.5333;1910.61
1233;20.5500;1912.15
1234;20.5667;1915.61
1235;20.5833;1909.00
1236;20.6000;1910.16
1237;20.6167;1920.47
1238;20.6333;1931.60
1239;20.6500;1925.43
1240;20.6667;1944.36
1241;20.6833;1951.64
1242;20.7000;1961.54
1243;20.7167;1982.37
1244;20.7333;1970.03
1245;20.7500;1967.27
1246;20.7667;1977.58
1247;20.7833;1981.11
1248;20.8000;1985.13
1249;20.8167;2001.95
1250;20.8333;2002.23
1251;20.8500;2000.91
1252;20.8667;1993.19
1253;20.8833;1989.07
1254;20.9000;1968.18
1255;20.9167;1958.22
1256;20.9333;1963.34
1257;20.9500;1966.04
1258;20.9667;1968.53
1259;20.9833;1965.72
1260;21.0000;1960.25
1261;21.0167;1956.82
1262;21.0333;1962.72
1263;21.0500;1949.19
1264;21.0667;1955.26
1265;21.0833;1954.22
1266;21.1000;1949.80
1267;21.1167;1949.97
1268;21.1333;1946.52
1269;21.1500;1947.89
1270;21.1667;1943.46
1271;21.1833;1957.64
1272;21.2000;1953.91
1273;21.2167;1947.38
1274;21.2333;1952.20
1275;21.2500;1942.70
1276;21.2667;1941.33
1277;21.2833;1929.44
1278;21.3000;1917.96
1279;21.3167;1922.39
1280;21.3333;1922.87
1281;21.3500;1926.08
1282;21.3667;1920.71
1283;21.3833;1899.04
1284;21.4000;1899.89
1285;21.4167;1881.77
1286;21.4333;1890.69
1287;21.4500;1877.18
1288;21.4667;1889.48
1289;21.4833;1888.92
1290;21.5000;1873.89
1291;21.5167;1863.33
1292;21.5333;1861.24
1293;21.5500;1864.19
1294;21.5667;1861.64
1295;21.5833;1861.41
1296;21.6000;1868.14
1297;21.6167;1866.88
1298;21.6333;1881.74
1299;21.6500;1870.49
1300;21.6667;1862.95
1301;21.6833;1872.15
1302;21.7000;1868.24
1303;21.7167;1852.65
1304;21.7333;1860.11
1305;21.7500;1849.48
1306;21.7667;1832.22
1307;21.7833;1822.96
1308;21.8000;1815.66
1309;21.8167;1805.35
1310;21.8333;1797.06
1311;21.8500;1797.55
1312;21.8667;1766.89
1313;21.8833;1771.13
1314;21.9000;1762.49
1315;21.9167;1750.98
1316;21.9333;1751.16
1317;21.9500;1745.46
1318;21.9667;1738.27
1319;21.9833;1729.20
1320;22.0000;1742.23
1321;22.0167;1737.06
1322;22.0333;1730.78
1323;22.0500;1726.70
1324;22.0667;1717.46
1325;22.0833;1700.66
1326;22.1000;1684.62
1327;22.1167;1671.68
1328;22.1333;1668.25
1329;22.1500;1649.81
1330;22.1667;1625.87
1331;22.1833;1616.92
1332;22.2000;1604.39
1333;22.2167;1590.61
1334;22.2333;1581.65
1335;22.2500;1582.58
1336;22.2667;1576.45
1337;22.2833;1573.19
1338;22.3000;1560.64
1339;22.3167;1559.35
1340;22.3333;1555.03
1341;22.3500;1543.28
1342;22.3667;1517.95
1343;22.3833;1501.81
1344;22.4000;1487.68
1345;22.4167;1475.32
1346;22.4333;1457.15
1347;22.4500;1449.22
1348;22.4667;1432.36
1349;22.4833;1418.69
1350;22.5000;1403.04
1351;22.5167;1393.40
1352;22.5333;1380.10
1353;22.5500;1365.29
1354;22.5667;1345.59
1355;22.5833;1330.58
1356;22.6000;1323.35
1357;22.6167;1324.91
1358;22.6333;1306.82
1359;22.6500;1286.46
1360;22.6667;1265.70
1361;22.6833;1244.34
1362;22.7000;1242.71
1363;22.7167;1237.13
1364;22.7333;1221.62
1365;22.7500;1211.24
1366;22.7667;1200.05
1367;22.7833;1194.95
1368;22.8000;1183.04
1369;22.8167;1181.95
1370;22.8333;1173.47
1371;22.8500;1157.01
1372;22.8667;1150.23
1373;22.8833;1151.26
1374;22.9000;1139.78
1375;22.9167;1124.60
1376;22.9333;1118.52
1377;22.9500;1129.33
1378;22.9667;1114.46
1379;22.9833;1116.27
1380;23.0000;1098.50
1381;23.0167;1094.65
1382;23.0333;1089.40
1383;23.0500;1085.79
1384;23.0667;1064.07
1385;23.0833;1054.14
1386;23.1000;1046.08
1387;23.1167;1042.18
1388;23.1333;1034.10
1389;23.1500;1014.05
1390;23.1667;1012.27
1391;23.1833;1002.20
1392;23.2000;993.30
1393;23.2167;991.45
1394;23.2333;978.78
1395;23.2500;974.86
1396;23.2667;968.96
1397;23.2833;962.89
1398;23.3000;960.93
1399;23.3167;950.87
1400;23.3333;949.79
1401;23.3500;938.91
1402;23.3667;933.49
1403;23.3833;926.04
1404;23.4000;916.24
1405;23.4167;912.87
1406;23.4333;910.21
1407;23.4500;912.30
1408;23.4667;905.31
1409;23.4833;899.60
1410;23.5000;902.15
1411;23.5167;894.13
1412;23.5333;885.87
1413;23.5500;875.45
1414;23.5667;879.48
1415;23.5833;874.57
1416;23.6000;861.53
1417;23.6167;836.71
1418;23.6333;825.27
1419;23.6500;825.13
1420;23.6667;825.98
1421;23.6833;822.95
1422;23.7000;819.41
1423;23.7167;817.41
1424;23.7333;811.85
1425;23.7500;811.10
1426;23.7667;804.12
1427;23.7833;803.71
1428;23.8000;805.53
1429;23.8167;811.11
1430;23.8333;804.76
1431;23.8500;799.89
1432;23.8667;791.25
1433;23.8833;780.09
1434;23.9000;769.08
1435;23.9167;767.22
1436;23.9333;754.43
1437;23.9500;751.57
1438;23.9667;747.71
1439;23.9833;744.80
